TITLE,SCORE,UPS,VIEWS,COMMENTS,FAVORITE COUNT,LINK
Artist draws strangers as anime characters,10243,10519,302758,578,5071,https://imgur.com/a/buMSx
lol,10239,10543,9740,366,3507,https://i.imgur.com/xhaL7v4.png
Maybe Anime wasn’t a mistake after all,10160,10386,151880,837,5074,https://imgur.com/a/d1nm7
Get Rekt Noob,10157,10469,72525,513,6512,http://i.imgur.com/BZFaPqPh.gif
Rethink Homelessness -Cardboard Stories,10146,10049,549621,1372,3131,https://imgur.com/a/7SUR0
Sick of crappy anime top 10's: Part 3,10121,10891,191572,808,9969,https://imgur.com/a/xwFGj
A few good anime,10087,10851,314168,1093,12320,https://imgur.com/a/ClaW8
ALL of the Anime!,10005,10355,118681,283,10317,https://i.imgur.com/L6vrF4j.gif
A Collection of Animemes,9986,10146,315839,712,8199,https://imgur.com/a/n0t2I
Best anime recommendation list I've had so far- Almost trough and I'm still waiting to be disappointed.,9920,10297,18080,764,10996,https://i.imgur.com/VQF77Yr.jpg
Some different but good anime to check out,9896,10317,238313,474,9640,https://imgur.com/a/1pl7B
For future use.,9883,10107,149848,427,6979,https://i.imgur.com/M1kilMF.gif
Here’s some of the best anime shows out there!,9854,10457,305287,1474,14661,https://imgur.com/a/nmVUa
Owwwwwwww,9854,9932,271634,467,4310,http://i.imgur.com/SoKczHeh.gif
Fucking finally.,9805,9967,19386,486,3192,https://i.imgur.com/ykqiURa.jpg
Favorite Anime Cake Day,9781,10549,251386,1015,10027,https://imgur.com/a/7e2kw
Animé <-> Reality,9747,9249,1184016,517,5147,https://imgur.com/a/I02PB
Best Friend Ever .....,9723,9904,368947,679,4031,https://imgur.com/a/pZRZi
For all you anime fans!,9713,10082,29610,1060,10160,https://i.imgur.com/X8QjHR9.jpg
Usersub is getting pretty weird,9597,9895,266284,114,510,https://imgur.com/a/33VH5
Some rarely mentioned anime,9575,10190,133220,597,9490,https://imgur.com/a/wQfz8
MRW parents are out of the house for a week,9525,9765,26089,620,4136,https://i.imgur.com/fifeJOP.gif
That was unexpected,9520,9743,32569,318,3371,https://i.imgur.com/NIzvVzm.gif
Evening plans,9473,9541,368849,513,6009,https://imgur.com/a/oMBgQ
If Michael Bay made a zombie movie,9351,9535,57152,417,6053,http://i.imgur.com/HAhJkQlh.gif
If Harry Potter was anime,9325,9744,10655,796,7129,https://i.imgur.com/ICYFlD4.jpg
D. Piddy strikes again,9307,9471,34947,377,3944,https://i.imgur.com/K5zB7JM.gif
"When you block your mom's ass whoopin', so she calls your dad...",9277,9324,193754,251,4898,https://imgur.com/a/4hNfw9q
Downvoting a -8 post,9191,9519,28672,335,2792,https://i.imgur.com/gyQmwf3.gif
Multi-Track Drifting Live Action,9159,7480,3503583,369,2257,http://i.imgur.com/iyuhjDFh.gif
The Bikini Bottom Horror: Complete Seasons 1&2,9157,9179,290478,287,6579,https://imgur.com/a/fLp22ZV
Concerned Moms Against Anime,9148,9357,18359,707,3881,https://i.imgur.com/j5ceya2.png
O-Oh...,9092,9321,12189,526,4678,https://i.imgur.com/jhPpjGp.jpg
As requested by SweetSweetAmerifags,8988,9029,443727,293,5523,https://imgur.com/a/wycFL
Did my Secret Santa just send me on a quest?!,8979,6574,1081751,487,2426,https://imgur.com/a/1LPfL
Turns out my friend's mom is a racist [Picture],8954,8735,10511,170,2555,https://i.imgur.com/Xn03MTw.jpg
Acing the exam,8922,9030,243674,541,5100,https://imgur.com/a/k2GqH
Koutetsujou no Kabaneri,8919,9238,46735,457,7093,https://i.imgur.com/RgGch3Q.gif
Avatar:The Last Airbender.,8815,8934,393712,542,5699,https://imgur.com/a/9TYYq
Here are some gifs from some of my favorite anime movies. Let me know what you think and i recommend them all.,8810,8814,227773,444,7979,https://imgur.com/a/d6S47
Traps,8780,9027,20026,1083,3400,https://i.imgur.com/CUukLJy.jpg
Today we’re just floating.,8768,8748,159361,187,3752,https://imgur.com/a/8bbXyWd
I got a new shirt,8745,9216,57199,524,4207,https://i.imgur.com/XrJSdsW.jpg
tumblr on anime glasses,8717,8719,270533,163,3277,https://imgur.com/a/C8clI
Yamete Biden-senpai!,8704,7778,2218022,421,6854,https://imgur.com/a/X4Sr3
Best Recent/Upcoming Anime,8698,9208,468396,747,8883,https://imgur.com/a/gvEt4
Ten More Anime for Older Audiences - Film Edition,8697,9442,553001,476,10019,https://imgur.com/a/eaNUO
Star Wars anime fan film,8646,8818,37413,606,6831,https://i.imgur.com/wJOvopW.gif
Studio Ghibli films by year,8632,8708,156158,280,8286,https://imgur.com/a/3WU4G
MRW there are just too many hot chicks in the local bath house.,8596,8687,51075,208,3537,https://i.imgur.com/BWKhB3l.gif
my first two months posting on imgur,8569,8775,93254,346,4256,https://i.imgur.com/C72EpWY.gif
Tamen De Gushi (5 out of 5),8564,9007,184177,495,6760,https://imgur.com/a/8g9u2
The Rule of Anime (1-50),8549,8861,260488,680,6346,https://imgur.com/a/K2ggo
List of eleven anime that I strongly recommend.,8443,8984,213716,1133,8606,https://imgur.com/a/V9H8C
How to get the sax,8427,8840,52613,432,4785,http://i.imgur.com/MKTAQvUh.gif
"A repost, I know, but I haven't seen this in a while, and quite frankly, it's beautiful.",8379,8515,393981,581,6144,https://imgur.com/a/FDRZL
When she gets undressed in front of you for the first time,8369,8583,124466,752,4611,https://i.imgur.com/rVkFjXM.gif
"Love or hate it, anime and its fandom has their moments",8312,8496,199594,501,5511,https://imgur.com/a/issGQ
MRW it's almost Halloween,8294,9018,191255,344,5292,https://i.imgur.com/ezUEo9g.gif
Meat buns,8266,8477,26542,405,3979,https://i.imgur.com/84B3VaY.jpg
Trying to make things right but failing anyway,8244,8456,49437,464,5454,http://i.imgur.com/5axpsBWh.gif
How to eat ice cream,8176,8816,267857,1351,6078,https://i.imgur.com/PIcPACQ.gif
Rationalization,8160,8199,273138,175,3058,https://imgur.com/a/w5fFV
My collection of anime sceneries,8159,8301,128498,66,7866,https://imgur.com/a/CRSl4
MRW my wife says she needs help in the shower,8146,8339,128792,368,3635,https://i.imgur.com/aRy02l9.gif
Trying to explain anime to your friends,8123,8535,59141,789,4398,https://i.imgur.com/73MjHhc.gif
here is my corgi butt for today,8095,8277,172135,132,2344,https://i.imgur.com/jvHLhjl.gif
whore,8093,8317,25484,334,3296,https://i.imgur.com/GaAvRbz.jpg
Me eating in public vs. me eating at home,8091,7496,34791,207,4029,https://i.imgur.com/3ZoL3eC.gif
The Bikini Bottom Horror,8091,8146,229242,285,5961,https://imgur.com/a/MAKKBZ0
Truer Words Have Never Been Spoken,8069,8311,14257,591,3704,https://i.imgur.com/QDyUtHw.jpg
showing my roommate Monster Musume,8061,8140,118799,721,4362,https://i.imgur.com/T5J693r.gif
The truth about being an anime fan in Japan.,8020,8286,489441,1717,3473,https://imgur.com/a/koaxz
When I try introduce my real life friends to Imgur.,8003,8961,30958,457,2279,https://i.imgur.com/0JNCpXc.gif
The Bikini Bottom Horror: Updated 1-21,7997,7968,321120,262,5595,https://imgur.com/a/avSRmyR
The Dude is super talented.,7901,8202,327656,561,5130,https://imgur.com/a/1o5J5
Drawing Model (for you all naruto fans),7795,7996,12649,331,3481,https://i.imgur.com/rfEAUDW.jpg
I need all of the money to fund this,7732,7937,7129,158,3008,https://i.imgur.com/NqaSH1B.jpg
12 Underrated Anime,7691,7954,223368,499,13231,https://imgur.com/a/XmDoedE
The power of love.,7684,7895,27180,401,4498,https://i.imgur.com/gyy5G2l.jpg
